date, pm25, pm10, o3, no2, so2, co
2020/3/1, 48, 9, 25, 16, , 2
2020/3/2, 30, 8, 13, 18, 3, 5
2020/3/3, 23, 12, 23, 21, 1, 3
2020/3/4, 42, 7, 33, 12, , 3
2020/3/5, 31, 9, 35, 12, 1, 3
2020/3/6, 34, 11, 30, 14, 1, 3
2020/3/7, 39, 9, 30, 9, , 2
2020/3/8, 42, 9, 24, 15, 1, 2
2020/3/9, 23, 17, 17, 26, 2, 4
2020/3/10, 46, 9, 34, 16, 2, 3
2020/3/11, 28, 8, 31, 14, 2, 3
2020/3/12, 25, 15, 34, 25, 2, 4
2020/3/13, 48, 10, 29, 11, 1, 3
2020/3/14, 30, 7, 35, 9, 1, 3
2020/3/15, 25, 8, 30, 11, 1, 3
2020/3/16, 27, 8, 28, 18, 2, 3
2020/3/17, 29, 14, 31, 30, 2, 4
2020/3/18, 47, 19, 31, 25, 3, 4
2020/3/19, 56, 7, 33, 9, 2, 2
2020/3/20, 23, 13, 33, 15, 3, 4
2020/3/21, 34, , , , , 
2020/2/1, 16, 6, 33, 7, 3, 3
2020/2/2, 22, 17, 21, 27, 2, 5
2020/2/3, 58, 7, 25, 17, 1, 3
2020/2/4, 27, 10, 29, 18, 2, 4
2020/2/5, 37, 4, 26, 7, , 2
2020/2/6, 14, 11, 19, 24, 5, 4
2020/2/7, 41, 13, 30, 22, 2, 5
2020/2/8, 50, 4, 30, 4, 1, 2
2020/2/9, 16, 11, 22, 25, 4, 
2020/2/10, 40, 6, 31, 12, 1, 
2020/2/11, 23, 15, 25, 27, 2, 
2020/2/12, 51, 27, 15, 42, 3, 
2020/2/13, 76, 20, 11, 40, 2, 
2020/2/14, 61, 15, 19, 29, 4, 
2020/2/15, 51, 28, 10, 25, 1, 
2020/2/16, 79, 13, 23, 17, 1, 
2020/2/17, 45, 5, 26, 12, 1, 
2020/2/18, 20, 7, 25, 17, 2, 
2020/2/19, 27, 10, 25, 23, 2, 
2020/2/20, 41, 11, 27, 20, 2, 
2020/2/21, 36, 17, 36, 19, 2, 
2020/2/22, 49, 12, 34, 7, 2, 
2020/2/23, 39, 16, 30, 14, 2, 4
2020/2/24, 48, 30, 24, 32, 4, 5
2020/2/25, 78, 13, 23, 16, 1, 3
2020/2/26, 48, 7, 28, 10, , 3
2020/2/27, 22, 7, 24, 16, 2, 3
2020/2/28, 23, 13, 25, 20, 2, 3
2020/2/29, 50, 13, 34, 13, 2, 3
2020/1/1, 25, 5, 23, 15, 2, 5
2020/1/2, 24, 11, 19, 22, 4, 5
2020/1/3, 41, 6, 28, 12, 2, 3
2020/1/4, 22, 4, 29, 7, , 2
2020/1/5, 16, 6, 27, 11, , 3
2020/1/6, 22, 14, 15, 23, 1, 4
2020/1/7, 47, 16, 10, 25, 1, 5
2020/1/8, 60, 7, 25, 17, 2, 4
2020/1/9, 21, 9, 20, 20, 1, 3
2020/1/10, 30, 14, 15, 24, 3, 4
2020/1/11, 46, 14, 23, 16, 1, 4
2020/1/12, 52, 18, 22, 23, 3, 4
2020/1/13, 61, 12, 22, 26, 4, 6
2020/1/14, 42, 14, 16, 25, 2, 5
2020/1/15, 50, 6, 22, 20, 2, 3
2020/1/16, 22, 9, 20, 22, 1, 4
2020/1/17, 32, 7, 23, 12, , 2
2020/1/18, 27, 8, 28, 12, 2, 3
2020/1/19, 31, 17, 15, 37, 5, 7
2020/1/20, 58, 8, 27, 16, 1, 5
2020/1/21, 28, 15, 19, 26, 1, 5
2020/1/22, 54, 25, 4, 37, 1, 6
2020/1/23, 77, 18, 15, 30, 3, 6
2020/1/24, 63, 9, 27, 13, 2, 3
2020/1/25, 30, 10, 23, 16, 1, 4
2020/1/26, 38, 15, 16, 24, 1, 4
2020/1/27, 55, 5, 18, 15, , 3
2020/1/28, 19, 8, 21, 25, 3, 4
2020/1/29, 23, 8, 18, 27, 3, 4
2020/1/30, 27, 3, 26, 7, 1, 2
2020/1/31, 11, 3, 28, 8, , 3
2019/10/1, 52, 28, 53, 25, 6, 4
2019/10/2, 66, 24, 35, 21, 7, 5
2019/10/3, 59, 19, 36, 15, 4, 4
2019/10/4, 42, 11, 43, 13, 8, 3
2019/10/5, 30, 12, 29, 4, 1, 3
2019/10/6, 8, 10, 22, 12, 1, 2
2019/10/7, 16, 14, 29, 19, 3, 4
2019/10/9, 34, 14, 29, 14, 2, 2
2019/10/10, 35, 16, 23, 16, 2, 3
2019/10/11, 33, 30, 20, 4, 1, 4
2019/10/12, 24, 7, 29, 3, , 1
2019/10/13, 18, 18, 22, 8, , 7
2019/10/14, 37, 10, 21, 15, 1, 1
2019/10/15, 24, 11, 24, 13, 1, 2
2019/10/16, 29, 15, 20, 20, 1, 3
2019/10/17, 38, 14, 21, 15, 1, 2
2019/10/18, 35, 15, 17, 24, 9, 4
2019/10/19, 34, 13, 27, 15, 2, 4
2019/10/20, 31, 11, 27, 11, 1, 2
2019/10/21, 28, 6, 31, 6, 1, 2
2019/10/22, 13, 9, 20, 24, 5, 3
2019/10/23, 24, 14, 27, 14, 1, 2
2019/10/24, 34, 9, 24, 11, , 2
2019/10/25, 20, 9, 19, 27, , 6
2019/10/26, 23, 11, 26, 12, , 3
2019/10/27, 34, 10, 25, 16, 1, 3
2019/10/28, 30, 13, 17, 22, 1, 4
2019/10/29, 33, 29, 9, 47, 4, 8
2019/10/30, 72, 29, 28, 27, 5, 4
2019/10/31, 64, 35, 20, 38, 9, 6
2019/11/1, 78, 15, 27, 16, 4, 3
2019/11/2, 40, 20, 27, 13, 2, 3
2019/11/3, 52, 9, 30, 8, 1, 2
2019/11/4, 26, 10, 21, 23, 7, 4
2019/11/5, 32, 17, 12, 37, 6, 5
2019/11/6, 51, 17, 26, 26, 5, 4
2019/11/7, 53, 10, 30, 13, 2, 2
2019/11/8, 30, 11, 29, 14, 3, 3
2019/11/9, 36, 12, 32, 11, 3, 3
2019/11/10, 40, 16, 17, 23, 3, 3
2019/11/11, 48, 11, 30, 16, 2, 4
2019/11/12, 33, 17, 19, 27, 4, 4
2019/11/13, 47, 12, 32, 17, 3, 4
2019/11/14, 31, 8, 20, 22, 4, 3
2019/11/15, 25, 15, 25, 31, 5, 6
2019/11/16, 44, 12, 31, 13, 2, 4
2019/11/17, 36, 17, 35, 19, 4, 3
2019/11/18, 44, 16, 26, 20, 2, 3
2019/11/19, 41, 4, 25, 8, , 2
2019/11/20, 13, 7, 24, 16, 1, 3
2019/11/21, 25, 13, 13, 21, 1, 3
2019/11/22, 40, 3, 21, 8, , 2
2019/11/23, 9, 8, 21, 15, 7, 3
2019/11/24, 25, 18, 16, 21, 2, 4
2019/11/25, 49, 9, 21, 12, , 2
2019/11/26, 24, 18, 15, 24, , 4
2019/11/27, 48, 10, 16, 20, , 3
2019/11/28, 29, 6, 20, 17, 1, 3
2019/11/29, 20, 7, 24, 20, 1, 3
2019/11/30, 25, 21, 15, 29, 4, 5
2019/12/1, 66, 33, 6, 35, 2, 6
2019/12/2, 81, 7, 25, 20, 4, 4
2019/12/3, 20, 8, 20, 23, 9, 4
2019/12/4, 27, 8, 19, 23, 4, 3
2019/12/5, 27, 8, 13, 23, , 3
2019/12/6, 26, 10, 14, 23, 1, 4
2019/12/7, 41, 13, 27, 14, 1, 4
2019/12/8, 44, 13, 17, 18, 1, 3
2019/12/9, 47, 17, , , 1, 5
2019/12/10, 58, 21, 1, 34, 1, 6
2019/12/11, 69, 17, 21, 23, 2, 6
2019/12/12, 50, 7, 19, 17, 2, 3
2019/12/13, 24, 19, 26, 25, 4, 5
2019/12/14, 56, 10, 28, 8, 1, 3
2019/12/15, 31, 15, 12, 25, 2, 5
2019/12/16, 53, 26, 5, 31, 2, 6
2019/12/17, 78, 24, 9, 32, 2, 7
2019/12/18, 65, 12, 18, 20, 1, 4
2019/12/19, 45, 15, 15, 21, 1, 4
2019/12/20, 49, 10, 17, 16, 1, 3
2019/12/21, 35, 17, 19, 16, , 4
2019/12/22, 61, 8, 22, 26, 5, 6
2019/12/23, 31, 6, 24, 16, 2, 4
2019/12/24, 23, 12, 21, 27, 1, 5
2019/12/25, 44, 23, 4, 36, 2, 6
2019/12/26, 72, 9, 27, 14, 1, 4
2019/12/27, 32, 3, 28, 7, , 2
2019/12/28, 11, 8, 27, 10, 1, 2
2019/12/29, 27, , , , , 
2019/7/1, 45, 35, 17, 33, 8, 4
2019/7/2, 71, 36, 48, 31, 9, 4
2019/7/3, 74, 11, 40, 13, 3, 3
2019/7/4, 19, 14, 36, 18, 2, 3
2019/7/5, 34, 11, 33, 10, 1, 3
2019/7/6, 24, 5, 29, 4, , 3
2019/7/7, 7, 7, 23, 9, 1, 2
2019/7/8, 15, 11, 23, 10, 1, 2
2019/7/9, 26, 10, 24, 11, 1, 3
2019/7/10, 26, 16, 25, 16, 4, 3
